289	36
118	13
179	51
279	5
289	36
179	51
361	52
260	50
155	12
235	11
260	50
260	50
260	50
179	51
179	51
246	25
179	51
179	51
189	29
248	25
330	16
179	51
361	52
260	50
289	36
361	52
289	36
157	27
289	36
179	51
179	51
235	29
235	11
235	29
179	51
361	52
289	36
291	50
235	29
260	50
184	42
118	10
179	51
235	20
155	12
118	10
179	51
291	31
260	50
291	31
260	50
225	26
225	26
118	10
289	36
118	13
225	26
179	51
369	17
248	25
179	51
260	50
179	51
118	10
118	13
179	26
179	51
225	26
118	10
225	26
248	25
291	31
179	51
225	26
260	50
291	31
225	26
289	36
361	52
260	50
179	51
225	26
179	51
179	22
291	31
155	12
189	29
291	31
225	26
155	12
225	26
179	22
225	26
260	50
248	25
225	26
289	36
291	31
248	25
118	10
118	13
235	11
225	26
260	50
118	10
361	52
225	26
260	50
225	26
361	52
118	10
246	25
225	26
225	26
118	10
118	10
155	12
225	26
184	42
225	26
225	26
118	10
225	26
118	10
118	10
118	10
118	10
118	10
118	10
179	26
289	36
118	10
184	42
118	10
118	10
225	26
289	36
184	42
246	25
179	51
155	12
189	29
260	50
289	36
388	15
388	15
225	26
225	26
179	26
184	42
225	26
330	16
330	16
225	26
189	29
291	50
260	50
157	27
179	22
291	31
260	50
179	26
248	25
260	50
179	22
155	12
260	50
155	12
289	36
179	22
260	50
225	26
279	5
179	51
225	26
225	26
179	26
225	26
225	26
179	51
279	5
225	26
248	25
225	26
291	31
225	26
155	12
246	25
155	12
225	26
260	50
179	51
118	13
291	31
246	25
291	31
248	25
260	50
289	36
155	12
378	49
289	36
235	11
235	29
289	36
155	12
155	12
179	51
225	26
184	42
155	12
179	51
289	36
279	5
330	16
378	49
388	15
179	51
118	13
361	52
246	25
361	52
246	25
291	31
246	25
179	51
155	12
246	25
118	13
235	11
118	13
118	13
378	49
179	51
289	48
225	26
155	12
118	13
118	10
118	10
330	16
179	26
155	12
330	16
330	16
157	27
361	52
289	36
179	51
289	36
289	36
260	50
289	36
157	27
289	36
228	14
300	26
300	26
260	50
289	36
248	25
268	11
179	26
118	13
248	25
235	11
118	13
235	11
361	52
184	42
179	51
179	51
289	36
235	20
246	25
291	31
231	35
291	50
179	51
246	25
179	51
291	31
260	50
235	20
118	13
235	20
291	31
291	31
179	51
289	36
235	11
289	36
289	36
118	13
248	25
179	26
118	10
369	17
179	51
179	26
235	20
289	36
260	50
235	20
235	20
235	20
118	13
291	31
179	26
118	13
361	52
260	50
291	31
157	27
179	26
179	26
118	13
118	10
248	25
179	51
260	50
291	31
378	49
155	12
235	20
330	16
235	11
118	10
235	11
179	51
246	25
291	31
246	25
179	51
260	50
260	50
378	49
279	5
179	51
225	26
179	51
179	51
235	11
118	13
260	50
246	25
179	51
179	51
179	26
118	10
235	11
179	51
235	20
235	11
260	50
157	27
179	51
289	36
225	26
118	10
155	12
235	11
155	12
289	36
291	31
235	20
118	13
179	51
179	51
118	10
179	51
225	26
289	36
260	50
179	51
179	51
179	51
179	51
246	25
179	51
189	29
179	51
246	25
291	31
157	27
179	51
179	51
246	25
179	51
179	51
118	10
246	25
246	25
260	50
179	51
235	11
179	22
378	49
179	51
361	52
369	17
235	11
118	13
118	13
118	13
235	11
246	25
118	13
179	51
289	36
260	50
246	25
179	51
260	50
330	16
369	17
248	25
330	16
179	51
118	13
118	13
300	26
260	50
179	51
118	10
235	20
248	25
369	17
179	26
179	51
361	52
260	50
179	22
179	22
228	14
225	26
330	16
179	26
118	10
235	11
179	26
118	10
179	51
118	10
225	26
260	50
179	51
291	31
179	51
246	25
179	51
235	20
179	51
225	26
118	13
179	51
179	26
246	25
330	16
235	11
179	26
225	26
260	50
268	11
330	16
118	10
260	50
118	10
300	26
235	29
246	25
225	26
179	51
118	13
361	52
289	36
235	20
246	25
291	31
279	5
179	51
179	22
246	25
118	10
289	36
235	20
291	31
179	51
179	22
330	16
235	11
246	25
118	10
291	31
260	50
246	25
246	25
118	10
155	12
